code	city	n_ins	n_nat	n_eur	n_be	n_pt	n_it	n_es	n_de	n_nl	n_ro	n_pl	n_ie	n_gr	n_hu	n_bg	n_sk	n_fi	n_se	n_dk	n_at	n_cz	n_lu	n_lt	n_lv	n_hr	n_cy	n_si	n_ee
59001	Abancourt	355	352	3	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59002	Abscon	2973	2972	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59003	Aibes	256	242	14	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59004	Aix-en-Pévèle	959	959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59005	Allennes-les-Marais	2995	2991	4	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59006	Amfroipret	189	186	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59007	Anhiers	652	648	4	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59008	Aniche	6824	6809	15	11	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59009	Villeneuve-d'Ascq	40309	40174	135	51	17	15	11	14	9	4	1	2	2	3	1	1	1	1	1	0	1	0	0	0	0	0	0	0
59010	Anneux	181	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59011	Annœullin	7664	7654	10	3	3	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59012	Anor	2360	2331	29	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59013	Anstaing	1298	1288	10	3	1	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59014	Anzin	8714	8690	24	13	1	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
